[1633098600, 5],
[1633185000, 5.01],
[1633267800, 4.86],
[1633354200, 4.86],
[1633440600, 4.85],
[1633527000, 4.37],
[1633613400, 4.37],
[1633699800, 4.95],
[1633786200, 4.95],
[1633872600, 4.95],
[1633959000, 4.92],
[1634045400, 4.82],
[1634131800, 4.75],
[1634218200, 4.67],
[1634304600, 4.33],
[1634391000, 4.33],
[1634477400, 4.31],
[1634563800, 3.7],
[1634650200, 3.68],
[1634736600, 3.67],
[1634823000, 3.65],
[1634909400, 3.61],
[1634995800, 3.6],
[1635082200, 3.58],
[1635168600, 3.55],
[1635255000, 3.54],
[1635341400, 3.54],
[1635427800, 3.54],
[1635514200, 3.52],
[1635600600, 3.52],
[1635687000, 4.85],
[1635773400, 4.85],
[1635859800, 4.85],
[1635946200, 4.83],
[1636032600, 4.82],
[1636119000, 4.89],
[1636205400, 4.66],
[1636291800, 4.6],
[1636464600, 4.65],
[1636551000, 4.65],
[1636637400, 4.65],
[1636896600, 4.65],
[1636983000, 4.65],
[1637069400, 4.65],
[1637155800, 4.63],
[1637242200, 4.63],
[1637328600, 4.63],
[1637415000, 4.6],
[1637501400, 4.31],
[1637587800, 4.3],
[1637674200, 4.28],
[1637760600, 4.25],
[1637847000, 4.2],
[1637933400, 4.16],
[1638019800, 4.14],
[1638106200, 4.11],
[1638192600, 4.08],
[1638279000, 4.03],
[1638365400, 4],
[1638451800, 3.97],
[1638538200, 3.95],
[1638624600, 3.95],
[1638711000, 3.94],
[1638797400, 3.94],
[1638883800, 3.93],
[1638970200, 3.93],
[1639056600, 3.93],
[1639143000, 3.95],
[1639229400, 3.95],
[1639315800, 3.95],
[1639402200, 3.95],
[1639488600, 3.95],
[1639575000, 3.95],
[1639661400, 3.92],
[1639747800, 3.83],
[1639834200, 3.92],
[1639920600, 3.92],
[1640007000, 3.92],
[1640093400, 3.92],
[1640179800, 3.92],
[1640266200, 3.92],
[1640352600, 3.92],
[1640439000, 3.92],
[1640525400, 3.92],
[1640611800, 3.92],
[1640698200, 3.92],
[1640784600, 3.92],
[1640871000, 3.92],
[1640957400, 3.92],
[1641043800, 3.91],
[1641130200, 3.91],
[1641216600, 3.91],
[1641303000, 3.91],
[1641389400, 3.91],
[1641475800, 3.91],
[1641562200, 3.89],
[1641648600, 4.65],
[1641735000, 4.65],
[1641821400, 4.65],
[1641907800, 4.64],
[1641994200, 4.64],
[1642080600, 4.64],
[1642167000, 4.64],
[1642253400, 4.54],
[1642339800, 4.52],
[1642426200, 3.93],
[1642512600, 3.93],
[1642599000, 3.91],
[1642685400, 3.87],
[1642771800, 3.85],
[1642858200, 3.84],
[1642944600, 4.41],
[1643031000, 3.81],
[1643117400, 3.82],
[1643203800, 4.67],
[1643290200, 3.77],
[1643376600, 3.75],
[1643463000, 3.73],
[1643549400, 3.71],
[1643635800, 3.71],
[1643722200, 3.71],
[1643808600, 3.69],
[1643895000, 3.69],
[1643981400, 3.67],
[1644067800, 3.65],
[1644154200, 3.64],
[1644240600, 3.62],
[1644327000, 3.62],
[1644413400, 3.61],
[1644499800, 3.59],
[1644586200, 3.57],
[1644672600, 3.55],
[1644759000, 3.54],
[1644845400, 4.65],
[1644931800, 4.66],
[1645018200, 4.67],
[1645104600, 4.63],
[1645191000, 4.45],
[1645277400, 4.44],
[1645363800, 4.41],
[1645450200, 4.39],
[1645536600, 4.36],
[1645623000, 4.33],
[1645709400, 4.68],
[1645795800, 4.68],
