[[1661351400, 1],
[1661437800, 1],
[1661524200, 1],
[1661610600, 1],
[1661697000, 1],
[1661783400, 1],
[1661956200, 0.1667],
[1662042600, 0.1667],
[1662129000, 0.1667],
[1662215400, 0.1667],
[1662301800, 0.1667],
[1662388200, 0.1667],
[1662474600, 0.1667],
[1662561000, 0.1667],
[1662647400, 0.1667],
[1662733800, 0.1667],
[1662820200, 0.1667],
[1662906600, 0.1667],
[1662993000, 0.1667],
[1663079400, 0.1667],
[1663165800, 0.1667],
[1663252200, 0.1667],
[1663338600, 0.1667],
[1663425000, 0.1667],
[1663511400, 0.1667],
[1663597800, 0.1667],
[1663684200, 0.1667],
[1663770600, 0.1667],
[1663857000, 0.1667],
[1663943400, 0.1667],
[1664029800, 0.1667],
[1664116200, 0.1667],
[1664202600, 0.1667],
[1664289000, 0.1667],
[1664375400, 0.1667],
[1664461800, 0.1667],
[1664548200, 0.1667],
[1664634600, 0.1667],
[1664717400, 0.1667],
[1664803800, 0.1667],
[1664890200, 0.1667],
[1664976600, 0.1667],
[1665063000, 0.1667],
[1665149400, 0.1667],
[1665235800, 0.1667],
[1665322200, 0.1667],
[1665408600, 0.1667],
[1665495000, 0.1667],
[1665581400, 0.1667],
[1665667800, 0.1667],
[1665754200, 0.1667],
[1665840600, 0.1667],
[1665927000, 0.1667],
[1666013400, 0.1667],
[1666099800, 0.1667],
[1666186200, 0.1667],
[1666272600, 0.1667],
[1666359000, 0.1667],
[1666445400, 0.1667],
[1666531800, 0.1667],
[1666618200, 0.1667],
[1666704600, 0.1667],
[1666791000, 0.1667],
[1666877400, 0.1667],
[1666963800, 0.1667],
[1667050200, 0.1667],
[1667136600, 0.1667],
[1667223000, 0.1667],
[1667309400, 0.1667],
[1667395800, 0.1667],
[1667482200, 0.1667],
[1667568600, 0.1667],
[1667655000, 0.1667],
[1667741400, 0.1667],
[1667827800, 0.1667],
[1667914200, 0.1667],
[1668000600, 0.1667],
[1668087000, 0.1667],
[1668173400, 0.1667],
[1668259800, 0.1667],
[1668346200, 0.1667],
[1668432600, 0.1667],
[1668519000, 0.1667],
[1668605400, 0.1667],
[1668691800, 0.1667],
[1668778200, 0.1667],
[1668864600, 0.1667],
[1668951000, 0.1667],
[1669037400, 0.1667],
[1669123800, 0.1667],
[1669210200, 0.1667],
[1669296600, 0.1667],
[1669383000, 0.1667],
[1669469400, 0.1667],
[1669555800, 0.1667],
[1669642200, 0.1667],
[1669728600, 0.1667],
[1669815000, 0.1667],
[1669901400, 0.1667],
[1669987800, 0.1667],
[1670074200, 0.1667],
[1670160600, 0.1667],
[1670247000, 0.1667],
[1670333400, 0.1667],
[1670419800, 0.1667],
[1670506200, 0.1667],
[1670592600, 0.1667],
[1670679000, 0.1667],
[1670765400, 0.1667],
[1670851800, 0.1667],
[1670938200, 0.1667],
[1671024600, 0.1667],
[1671111000, 0.1667],
[1671197400, 0.1667],
[1671283800, 0.1667],
[1671370200, 0.1667],
[1671456600, 0.1667],
[1671543000, 0.1667],
[1671629400, 0.1667],
[1671715800, 0.1667],
[1671802200, 0.1667],
[1671888600, 0.1667],
[1671975000, 0.1667],
[1672061400, 0.1667],
[1672147800, 0.1667],
[1672234200, 0.1667],
[1672320600, 0.1667],
[1672407000, 0.1667],
[1672493400, 0.1667],
[1672579800, 0.1667],
[1672666200, 0.1667],
[1672752600, 0.1667],
[1672839000, 0.1667],
[1672925400, 0.1667],
[1673011800, 0.1667],
[1673098200, 0.1667],
[1673184600, 0.1667],
[1673271000, 0.1667],
[1673357400, 0.1667],
[1673443800, 0.1667],
[1673530200, 0.1667],
[1673616600, 0.1667],
[1673703000, 0.1667],
[1673789400, 0.1667],
[1673875800, 0.1667],
[1673962200, 0.1667],
[1674048600, 0.1667],
[1674135000, 0.1667],
[1674221400, 0.1667],
[1674307800, 0.1667],
[1674394200, 0.1667],
[1674480600, 0.1667],
[1674567000, 0.1667],
[1674653400, 0.1667],
[1674739800, 0.1667],
[1674826200, 0.1667],
[1674912600, 0.1667],
[1674999000, 0.1667],
[1675085400, 0.1667],
[1675171800, 0.1667],
[1675258200, 0.1667],
[1675344600, 0.1667],
[1675431000, 0.1667],
[1675517400, 0.1667],
[1675603800, 0.1667],
[1675690200, 0.1667],
[1675776600, 0.1667],
[1675863000, 0.1667],
[1675949400, 0.1667],
[1676035800, 0.1667],
[1676122200, 0.1667],
[1676208600, 0.1667],
[1676295000, 0.1667],
[1676381400, 0.1667],
[1676467800, 0.1667],
[1676554200, 0.1667],
[1676640600, 0.1667],
[1676727000, 0.1667]]
