[1633098600, 1],
[1633185000, 1],
[1633267800, 1],
[1633354200, 1],
[1633440600, 1],
[1633527000, 1],
[1633613400, 1],
[1633699800, 1],
[1633786200, 1],
[1633872600, 1],
[1633959000, 1],
[1634045400, 1],
[1634131800, 1],
[1634218200, 1],
[1634304600, 1],
[1634391000, 1],
[1634477400, 1],
[1634563800, 1],
[1634650200, 1],
[1634736600, 1],
[1634823000, 1],
[1634909400, 1],
[1634995800, 1],
[1635082200, 1],
[1635168600, 1],
[1635255000, 1],
[1635341400, 1],
[1635427800, 1],
[1635514200, 1],
[1635600600, 1],
[1635687000, 1],
[1635773400, 0.9474],
[1635859800, 0.9474],
[1635946200, 0.9474],
[1636032600, 0.9474],
[1636119000, 0.9474],
[1636205400, 0.9474],
[1636291800, 0.9474],
[1636464600, 0.9474],
[1636551000, 0.9474],
[1636637400, 0.9474],
[1636896600, 0.9474],
[1636983000, 0.9474],
[1637069400, 0.9474],
[1637155800, 1],
[1637242200, 1],
[1637328600, 1],
[1637415000, 1],
[1637501400, 1],
[1637587800, 0.9474],
[1637674200, 0.9474],
[1637760600, 0.9474],
[1637847000, 0.9474],
[1637933400, 0.9474],
[1638019800, 0.9474],
[1638106200, 0.9474],
[1638192600, 0.9474],
[1638279000, 0.9474],
[1638365400, 0.9474],
[1638451800, 0.9474],
[1638538200, 0.9474],
[1638624600, 0.9474],
[1638711000, 0.9474],
[1638797400, 1],
[1638883800, 1],
[1638970200, 1],
[1639056600, 1],
[1639143000, 1],
[1639229400, 1],
[1639315800, 1],
[1639402200, 1],
[1639488600, 1],
[1639575000, 1],
[1639661400, 1],
[1639747800, 1],
[1639834200, 1],
[1639920600, 1],
[1640007000, 1],
[1640093400, 1],
[1640179800, 1],
[1640266200, 1],
[1640352600, 1],
[1640439000, 1],
[1640525400, 1],
[1640611800, 1],
[1640698200, 1],
[1640784600, 1],
[1640871000, 1],
[1640957400, 1],
[1641043800, 1],
[1641130200, 1],
[1641216600, 1],
[1641303000, 1],
[1641389400, 1],
[1641475800, 1],
[1641562200, 1],
[1641648600, 1],
[1641735000, 1],
[1641821400, 1],
[1641907800, 0.9474],
[1641994200, 1],
[1642080600, 1],
[1642167000, 1],
[1642253400, 1],
[1642339800, 1],
[1642426200, 1],
[1642512600, 1],
[1642599000, 1],
[1642685400, 1],
[1642771800, 1],
[1642858200, 1],
[1642944600, 1],
[1643031000, 1],
[1643117400, 1],
[1643203800, 1],
[1643290200, 1],
[1643376600, 1],
[1643463000, 1],
