[[1666445400, 1],
[1666531800, 1],
[1666618200, 1],
[1666704600, 1],
[1666791000, 1],
[1666877400, 1],
[1666963800, 1.07],
[1667050200, 1.0],
[1667136600, 0.77],
[1667223000, 0.75],
[1667309400, 0.78],
[1667395800, 0.8],
[1667482200, 0.87],
[1667568600, 1.04],
[1667655000, 0.84],
[1667741400, 0.96],
[1667827800, 1.15],
[1667914200, 1.14],
[1668000600, 0.82],
[1668087000, 0.94],
[1668173400, 0.83],
[1668259800, 0.77],
[1668346200, 0.71],
[1668432600, 0.66],
[1668519000, 0.64],
[1668605400, 0.53],
[1668691800, 0.65],
[1668778200, 0.61],
[1668864600, 0.66],
[1668951000, 0.6],
[1669037400, 0.6],
[1669123800, 0.62],
[1669210200, 0.6],
[1669296600, 0.58],
[1669383000, 0.58],
[1669469400, 0.62],
[1669555800, 0.75],
[1669642200, 0.78],
[1669728600, 0.75],
[1669815000, 0.73],
[1669901400, 0.72],
[1669987800, 0.72],
[1670074200, 0.72],
[1670160600, 0.76],
[1670247000, 0.81],
[1670333400, 0.86],
[1670419800, 0.93],
[1670506200, 0.93],
[1670592600, 0.96],
[1670679000, 1.13],
[1670765400, 1.09],
[1670851800, 1.11],
[1670938200, 0.66],
[1671024600, 0.77],
[1671111000, 0.92],
[1671197400, 1],
[1671283800, 0.93],
[1671370200, 0.8],
[1671456600, 0.9],
[1671543000, 0.22],
[1671629400, 0.19],
[1671715800, 0.18],
[1671802200, 0.19],
[1671888600, 0.19],
[1671975000, 0.19],
[1672061400, 0.18],
[1672147800, 0.18],
[1672234200, 0.18],
[1672320600, 0.17],
[1672407000, 0.18],
[1672493400, 0.18],
[1672579800, 0.18],
[1672666200, 0.19],
[1672752600, 0.18],
[1672839000, 0.19],
[1672925400, 0.19],
[1673011800, 0.19],
[1673098200, 0.19],
[1673184600, 0.19],
[1673271000, 0.19],
[1673357400, 0.19],
[1673443800, 0.2],
[1673530200, 0.19],
[1673616600, 0.2],
[1673703000, 0.2],
[1673789400, 0.2],
[1673875800, 0.21],
[1673962200, 0.21],
[1674048600, 0.21],
[1674135000, 0.21],
[1674221400, 0.22],
[1674307800, 0.23],
[1674394200, 0.23],
[1674480600, 0.23],
[1674567000, 0.21],
[1674653400, 0.22],
[1674739800, 0.23],
[1674826200, 0.22],
[1674912600, 0.22],
[1674999000, 0.23],
[1675085400, 0.21],
[1675171800, 0.21],
[1675258200, 0.22],
[1675344600, 0.22],
[1675431000, 0.21],
[1675517400, 0.22],
[1675603800, 0.21],
[1675690200, 0.21],
[1675776600, 0.22],
[1675863000, 0.22],
[1675949400, 0.22],
[1676035800, 0.22],
[1676122200, 0.21],
[1676208600, 0.21],
[1676295000, 0.22],
[1676381400, 0.23],
[1676467800, 0.23],
[1676554200, 0.23],
[1676640600, 0.24],
[1676727000, 0.24]]
