[1666445400, 1],
[1666531800, 1],
[1666618200, 1],
[1666704600, 1],
[1666791000, 1],
[1666877400, 1],
[1666963800, 0.97],
[1667050200, 0.97],
[1667136600, 0.93],
[1667223000, 0.94],
[1667309400, 0.93],
[1667395800, 0.94],
[1667482200, 0.96],
[1667568600, 0.99],
[1667655000, 1],
[1667741400, 0.98],
[1667827800, 0.95],
[1667914200, 0.98],
[1668000600, 0.96],
[1668087000, 1.01],
[1668173400, 1.02],
[1668259800, 1.7],
[1668346200, 1.42],
[1668432600, 1.1],
[1668519000, 1.38],
[1668605400, 1.2],
[1668691800, 1.14],
[1668778200, 1.1],
[1668864600, 1.01],
[1668951000, 0.97],
[1669037400, 0.86],
[1669123800, 0.69],
[1669210200, 0.81],
[1669296600, 0.87],
[1669383000, 0.88],
[1669469400, 0.93],
[1669555800, 1.01],
[1669642200, 1.01],
[1669728600, 0.98],
[1669815000, 1.04],
[1669901400, 1.05],
[1669987800, 1.05],
[1670074200, 1.16],
[1670160600, 1.19],
[1670247000, 1.13],
[1670333400, 1.29],
[1670419800, 1.29],
[1670506200, 1.24],
[1670592600, 1.31],
[1670679000, 1.3],
[1670765400, 1.24],
[1670851800, 1.17],
[1670938200, 1.2],
[1671024600, 0.77],
[1671111000, 0.71],
[1671197400, 0.83],
[1671283800, 0.66],
[1671370200, 0.64],
[1671456600, 0.77],
[1671543000, 0.7],
[1671629400, 0.27],
[1671715800, 0.27],
[1671802200, 0.24],
[1671888600, 0.25],
[1671975000, 0.25],
[1672061400, 0.25],
[1672147800, 0.26],
[1672234200, 0.25],
[1672320600, 0.25],
[1672407000, 0.25],
[1672493400, 0.26],
[1672579800, 0.26],
[1672666200, 0.26],
[1672752600, 0.26],
[1672839000, 0.26],
[1672925400, 0.27],
[1673011800, 0.27],
[1673098200, 0.27],
[1673184600, 0.28],
[1673271000, 0.28],
[1673357400, 0.28],
[1673443800, 0.25],
[1673530200, 0.28],
[1673616600, 0.29],
[1673703000, 0.29],
[1673789400, 0.29],
[1673875800, 0.29],
[1673962200, 0.28],
[1674048600, 0.28],
[1674135000, 0.28],
[1674221400, 0.29],
[1674307800, 0.28],
[1674394200, 0.28],
[1674480600, 0.29],
[1674567000, 0.28],
[1674653400, 0.28],
[1674739800, 0.28],
[1674826200, 0.29],
[1674912600, 0.29],
[1674999000, 0.29],
[1675085400, 0.29],
[1675171800, 0.29],
[1675258200, 0.29],
[1675344600, 0.29],
[1675431000, 0.28],
[1675517400, 0.28],
[1675603800, 0.29],
[1675690200, 0.28],
[1675776600, 0.28],
[1675863000, 0.28],
[1675949400, 0.28],
[1676035800, 0.28],
[1676122200, 0.28],
[1676208600, 0.28],
[1676295000, 0.28],
[1676381400, 0.28],
[1676467800, 0.27],
[1676554200, 0.27],
[1676640600, 0.28],
[1676727000, 0.28],
